[2025-01-01T05:54:33,738][INFO ][o.a.l.i.v.PanamaVectorizationProvider] [wsapp-node-1] Java vector incubator API enabled; uses preferredBitSize=256
[2025-01-01T05:54:36,165][INFO ][o.e.n.Node               ] [wsapp-node-1] version[8.11.3], pid[17836], build[zip/64cf052f3b56b1fd4449f5454cb88aca7e739d9a/2023-12-08T11:33:53.634979452Z], OS[Windows 11/10.0/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/21.0.1/21.0.1+12-29]
[2025-01-01T05:54:36,169][INFO ][o.e.n.Node               ] [wsapp-node-1] JVM home [c:\Users\phila\Desktop\wsapp\elasticsearch-8.11.3\jdk], using bundled JDK [true]
[2025-01-01T05:54:36,169][INFO ][o.e.n.Node               ] [wsapp-node-1] JVM arguments [-Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -Djava.security.manager=allow, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=SPI,COMPAT, --add-opens=java.base/java.io=org.elasticsearch.preallocate, -XX:+UseG1GC, -Djava.io.tmpdir=C:\Users\phila\AppData\Local\Temp\elasticsearch, --add-modules=jdk.incubator.vector, -XX:+HeapDumpOnOutOfMemoryError, -XX:+ExitOnOutOfMemoryError, -XX:HeapDumpPath=data, -XX:ErrorFile=logs/hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=logs/gc.log:utctime,level,pid,tags:filecount=32,filesize=64m, -Xms3942m, -Xmx3942m, -XX:MaxDirectMemorySize=2066743296, -XX:G1HeapRegionSize=4m, -XX:InitiatingHeapOccupancyPercent=30, -XX:G1ReservePercent=15, -Des.distribution.type=zip, --module-path=c:\Users\phila\Desktop\wsapp\elasticsearch-8.11.3\lib, --add-modules=jdk.net, --add-modules=ALL-MODULE-PATH, -Djdk.module.main=org.elasticsearch.server]
[2025-01-01T05:54:46,867][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [repository-url]
[2025-01-01T05:54:46,867][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [rest-root]
[2025-01-01T05:54:46,868][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-core]
[2025-01-01T05:54:46,869][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-redact]
[2025-01-01T05:54:46,869][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [ingest-user-agent]
[2025-01-01T05:54:46,870][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-async-search]
[2025-01-01T05:54:46,871][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-monitoring]
